task_id,employee_id,department_x,task_category,priority,assigned_date,deadline,completion_date,completed,deadline_met,hours_estimated,hours_actual,efficiency_score,satisfaction_rating,name,department_y,role,join_date,years_experience,manager_id,location
TASK00001,EMP0096,HR,Training,Medium,2025-11-20,2025-11-25,2025-11-30,True,False,32,27.7,74.3,2.0,Rachael Li,HR,Recruiter,2026-01-31,12.8,EMP0010,Remote
TASK00002,EMP0200,Engineering,Client Call,Medium,2025-05-10,2025-05-20,2025-05-20,True,True,6,5.5,70.8,3.0,Ashley Lopez,Engineering,Tech Lead,2023-11-18,12.6,EMP0016,Delhi
TASK00003,EMP0078,Engineering,Report,Critical,2025-07-23,2025-08-01,2025-07-30,True,True,20,31.8,73.9,2.0,Angela Stone,Engineering,Senior Dev,2024-09-17,8.9,EMP0005,Hyderabad
TASK00004,EMP0093,HR,Documentation,Medium,2026-01-13,2026-01-21,2026-01-25,True,False,31,58.9,84.0,2.0,Terri Grimes,HR,HR Coordinator,2025-11-19,10.8,EMP0001,Remote
TASK00005,EMP0046,Sales,Report,Medium,2025-10-22,2025-10-26,2025-10-30,True,False,4,3.9,76.2,4.0,Andrew Reed Jr.,Sales,Sales Rep,2022-04-27,1.9,EMP0014,Delhi
TASK00006,EMP0105,Sales,Code Review,Medium,2025-11-11,2025-11-22,2025-11-22,True,True,33,64.3,90.1,5.0,James Singh,Sales,Sales Rep,2021-10-17,1.2,EMP0016,Remote
TASK00007,EMP0116,Support,Report,Critical,2025-10-07,2025-10-13,2025-10-18,True,False,8,10.3,92.6,1.0,Colleen Olsen,Support,Support Lead,2024-05-31,3.9,EMP0011,Delhi
TASK00008,EMP0053,Sales,Meeting,High,2026-02-17,2026-02-24,2026-02-24,True,True,6,7.2,76.1,3.0,Charlotte Wells DVM,Sales,Account Manager,2023-06-24,13.6,EMP0006,Hyderabad
TASK00009,EMP0143,Marketing,Testing,Medium,2025-04-27,2025-05-04,2025-05-07,True,False,36,38.5,70.7,4.0,Kevin Baker,Marketing,Content Writer,2022-07-02,6.8,EMP0012,Hyderabad
TASK00010,EMP0082,Sales,Feature Dev,High,2025-07-13,2025-07-14,2025-07-15,True,False,20,39.9,92.5,4.0,Theresa Robinson,Sales,Sales Rep,2024-04-17,13.3,EMP0001,Mumbai
TASK00011,EMP0188,Sales,Meeting,Critical,2025-04-30,2025-05-13,2025-05-12,True,True,30,22.5,82.4,1.0,Robert Love,Sales,Sales Lead,2022-11-26,6.8,EMP0016,Bangalore
TASK00012,EMP0096,HR,Documentation,Low,2025-10-12,2025-10-25,2025-10-28,True,False,25,28.7,97.3,5.0,Rachael Li,HR,Recruiter,2026-01-31,12.8,EMP0010,Remote
TASK00013,EMP0168,Support,Client Call,Medium,2025-07-13,2025-07-24,2025-07-24,True,True,13,8.0,95.6,5.0,Jon Porter,Support,Customer Success,2022-05-12,1.3,EMP0005,Remote
TASK00014,EMP0131,Support,Documentation,Medium,2025-10-18,2025-10-26,,False,False,11,0.0,0.0,,Robin Jones,Support,Customer Success,2023-05-11,1.3,EMP0012,Mumbai
TASK00015,EMP0010,Finance,Training,Medium,2025-09-14,2025-09-19,2025-09-17,True,True,31,57.4,67.5,2.0,Kelsey Monroe,Finance,Analyst,2021-09-09,14.6,EMP0013,Bangalore
TASK00016,EMP0163,Sales,Client Call,Low,2025-12-03,2025-12-09,,False,False,21,0.0,0.0,,Drew Mckinney,Sales,Account Manager,2021-11-24,1.2,EMP0002,Remote
TASK00017,EMP0136,Finance,Feature Dev,Medium,2026-01-25,2026-02-02,2026-02-03,True,False,26,46.3,80.2,2.0,Elizabeth Smith,Finance,Finance Manager,2021-07-29,14.5,EMP0004,Mumbai
TASK00018,EMP0153,Support,Client Call,Medium,2025-09-02,2025-09-08,2025-09-10,True,False,3,5.9,86.5,3.0,James Johnson,Support,Customer Success,2022-11-28,7.6,EMP0001,Bangalore
TASK00019,EMP0144,Support,Meeting,Low,2025-08-09,2025-08-23,2025-08-21,True,True,40,64.7,100.0,2.0,John Duncan,Support,Support Agent,2021-08-27,6.8,EMP0017,Delhi
TASK00020,EMP0132,Support,Code Review,Medium,2025-10-18,2025-10-24,2025-10-25,True,False,18,27.3,80.1,1.0,Amanda Nichols,Support,Support Agent,2024-05-02,11.8,EMP0002,Bangalore
TASK00021,EMP0199,Marketing,Code Review,Critical,2026-03-26,2026-04-06,2026-04-11,True,False,4,5.5,80.9,1.0,Kimberly King,Marketing,Content Writer,2025-07-24,3.8,EMP0004,Hyderabad
TASK00022,EMP0184,Engineering,Training,Critical,2025-11-05,2025-11-11,2025-11-11,True,True,14,9.8,79.0,3.0,Steven Barton,Engineering,Senior Dev,2022-12-06,11.2,EMP0020,Delhi
TASK00023,EMP0153,Support,Meeting,Medium,2025-07-07,2025-07-12,2025-07-14,True,False,32,62.4,100.0,3.0,James Johnson,Support,Customer Success,2022-11-28,7.6,EMP0001,Bangalore
TASK00024,EMP0126,Marketing,Documentation,High,2025-11-27,2025-12-05,,False,False,11,0.0,0.0,,Sarah Cervantes,Marketing,Marketing Manager,2024-12-01,8.7,EMP0001,Bangalore
TASK00025,EMP0035,Engineering,Client Call,High,2025-06-29,2025-07-11,2025-07-15,True,False,37,38.8,89.2,1.0,Isabel Williams,Engineering,Tech Lead,2024-10-23,7.5,EMP0003,Remote
TASK00026,EMP0120,Sales,Testing,Low,2025-05-29,2025-05-31,2025-06-02,True,False,39,41.8,89.7,1.0,Lawrence Charles,Sales,Account Manager,2023-03-04,6.1,EMP0019,Bangalore
TASK00027,EMP0074,HR,Report,Medium,2026-04-10,2026-04-18,2026-04-21,True,False,16,23.5,85.1,3.0,Sheena Chandler,HR,HR Coordinator,2024-05-03,1.8,EMP0014,Delhi
TASK00028,EMP0187,Sales,Feature Dev,Medium,2025-07-15,2025-07-17,2025-07-16,True,True,21,41.9,91.8,1.0,Daniel Nguyen,Sales,Account Manager,2022-08-03,8.0,EMP0015,Delhi
TASK00029,EMP0093,HR,Training,Low,2025-08-27,2025-09-05,2025-09-10,True,False,25,37.6,79.4,4.0,Terri Grimes,HR,HR Coordinator,2025-11-19,10.8,EMP0001,Remote
TASK00030,EMP0056,Sales,Client Call,Medium,2025-05-09,2025-05-21,2025-05-25,True,False,8,14.0,86.3,3.0,Brian Howard,Sales,Sales Rep,2024-02-07,4.8,EMP0002,Remote
TASK00031,EMP0105,Sales,Feature Dev,Low,2026-01-03,2026-01-09,2026-01-14,True,False,17,30.3,77.7,3.0,James Singh,Sales,Sales Rep,2021-10-17,1.2,EMP0016,Remote
TASK00032,EMP0094,Finance,Feature Dev,Medium,2025-08-18,2025-08-29,2025-09-02,True,False,19,14.9,92.8,4.0,Anthony Nelson,Finance,Finance Manager,2025-10-25,10.9,EMP0007,Delhi
TASK00033,EMP0077,Engineering,Documentation,Low,2025-10-13,2025-10-17,2025-10-15,True,True,5,8.4,73.5,2.0,Matthew Pitts,Engineering,Junior Dev,2025-08-03,1.6,EMP0005,Remote
TASK00034,EMP0115,Marketing,Documentation,High,2025-09-04,2025-09-08,2025-09-09,True,False,39,32.1,58.0,3.0,Jessica Moore,Marketing,Marketing Manager,2022-03-28,4.0,EMP0015,Bangalore
TASK00035,EMP0029,HR,Meeting,High,2025-07-30,2025-08-12,,False,False,2,0.0,0.0,,Daniel Lewis,HR,HR Manager,2023-12-07,2.8,EMP0001,Delhi
TASK00036,EMP0021,Support,Meeting,High,2025-11-23,2025-11-26,,False,False,36,0.0,0.0,,Brianna Gilmore,Support,Support Lead,2021-12-30,2.6,EMP0005,Mumbai
TASK00037,EMP0144,Support,Documentation,High,2025-09-18,2025-09-20,2025-09-19,True,True,10,5.2,78.4,5.0,John Duncan,Support,Support Agent,2021-08-27,6.8,EMP0017,Delhi
